code	value
001	Churchill
003	Clark
005	Douglas
007	Elko
009	Esmeralda
011	Eureka
013	Humboldt
015	Lander
017	Lincoln
019	Lyon
021	Mineral
023	Nye
027	Pershing
029	Storey
031	Washoe
033	White Pine
510	Carson City
