code	value
1	8th Grade or Less
2	9th through 12th Grade, no Diploma
3	High School Graduate or GED
4	Some College, but no Degree
5	Associate Degree
6	Bachelors Degree
7	Masters Degree
8	Doctorate Degree
9	Unknown
