Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
MODIFY_DATE,6,YES,datet,,,,3
MODIFY_USERID,7,YES,int,,0,10,
ISACTIVE,5,YES,varch,1,,,
REJECT_REASON_DESC,4,YES,varch,50,,,
REJECT_ORIGINATOR,3,YES,varch,8,,,
REJECT_REASON_CODE,2,YES,varch,8,,,
DEATH_REJECTID,1,NO,varch,2,,,
