1	Agriculture, Forestry and Fisheries
2	Mining
3	Construction
4	Manufacturing
5	Transportation, Communications and Other Public Utilities
6	Wholesale Trade
7	Retail Trade
8	Finance, Insurance and Real Estate
9	Business and Repair Services
10	Personal Services
11	Entertainment and Recreation Services
12	Professional and Related Services
13	Public Administration
14	None
16	Unknown
