1,'8th Grade or less'
2,'9th through 12th Grade, no diploma'
3,'High School Graduates or GED'
4,'Some College, but no Degree'
5,'Assoiciate Degree, AA, AS'
6,'Bachleors Degree, BA, AB, BS'
7,'Masters Degree, MA, MS'
8,'Doctorate Degree, PHD, EDD, MD'
9,'Unknown'
