Field Name,Order,Null?,Type,Max,Scale,Nbr,Date
IMPORT_CODE,7,YES,varch,1,,,
MODIFY_USERID,6,YES,int,,0,10,
ISACTIVE,5,YES,varch,1,,,
MODIFY_DATE,4,YES,datet,,,,3
MARITAL_DESC,3,YES,varch,25,,,
MARITALDTHID,1,YES,int,,0,10,
MARITAL_CODE,2,YES,varch,1,,,
