DEATH_ALERTID,1,YES,int,0,10
MODIFY_DATE,4,YES,datet,3
MODIFY_USERID,5,YES,int,0,10
ALERT_DESC,2,YES,varch,150
ISACTIVE,3,YES,varch,50
